Date,Open,High,Low,Close,Volume
2024-02-29,190.7785,191.098,188.1746,189.3099,0.0
2024-03-01,189.3151,190.8688,188.8839,189.876,0.0
2024-03-02,189.831,189.831,189.831,189.831,0.0
2024-03-03,189.8145,189.9259,189.5608,189.8234,0.0
2024-03-04,189.7304,191.3218,189.4946,191.0345,0.0
2024-03-05,191.0188,191.7173,189.6804,190.6162,0.0
2024-03-06,190.6026,191.5327,189.1895,190.1576,0.0
2024-03-07,190.1213,191.3579,187.7627,189.6072,0.0
2024-03-08,189.5925,190.9776,187.5021,189.0041,0.0
2024-03-09,189.0236,189.0236,189.0236,189.0236,0.0
2024-03-10,189.0236,189.2636,188.7652,189.0122,0.0
2024-03-11,189.0241,189.2605,187.4206,188.3006,0.0
2024-03-12,188.291,190.0234,186.8685,188.8353,0.0
2024-03-13,188.8211,189.666,188.069,188.9184,0.0
2024-03-14,188.9086,190.2395,187.6788,189.1079,0.0
2024-03-15,189.0913,190.3183,188.3612,189.8531,0.0
2024-03-16,189.8531,189.8531,189.8531,189.8531,0.0
2024-03-17,189.7181,189.9092,189.4994,189.7828,0.0
2024-03-18,189.7903,190.3465,189.3702,189.7866,0.0
2024-03-19,189.7849,192.2184,188.7276,191.8267,0.0
2024-03-20,191.8374,194.1284,191.1616,193.2726,0.0
2024-03-21,193.268,194.2939,190.0776,191.8503,0.0
2024-03-22,191.8781,192.4866,189.877,190.8157,0.0
2024-03-23,190.8157,190.8157,190.8157,190.8157,0.0
2024-03-24,190.7338,190.8187,190.4792,190.7032,0.0
2024-03-25,190.7113,191.7408,190.1589,191.3214,0.0
2024-03-26,191.3161,192.0507,190.8154,191.3291,0.0
2024-03-27,191.3405,192.1081,190.3632,191.1334,0.0
2024-03-28,191.1316,191.7729,190.2223,191.0113,0.0
2024-03-29,191.0403,191.5682,190.6007,190.9898,0.0
2024-03-30,190.9898,190.9898,190.9898,190.9898,0.0
2024-03-31,190.9898,191.1886,190.8686,191.0374,0.0
2024-04-01,191.0347,191.8702,189.6072,190.3094,0.0
2024-04-02,190.3316,190.9611,189.9172,190.6468,0.0
2024-04-03,190.6471,192.3102,190.2352,191.8211,0.0
2024-04-04,191.8287,192.499,190.8973,191.2593,0.0
2024-04-05,191.2669,191.938,189.6247,191.5731,0.0
2024-04-06,191.5731,191.5731,191.5731,191.5731,0.0
2024-04-07,191.5731,191.5896,191.2978,191.4513,0.0
2024-04-08,191.4602,192.4234,191.1737,192.0847,0.0
2024-04-09,192.0905,193.1,191.7027,192.333,0.0
2024-04-10,192.3431,194.7318,189.8963,191.7823,0.0
2024-04-11,191.7973,192.851,191.0986,192.3359,0.0
2024-04-12,192.3421,192.6329,189.6104,190.7838,0.0
2024-04-13,190.7838,190.7838,190.7838,190.7838,0.0
2024-04-14,190.5273,190.697,190.1868,190.5273,0.0
2024-04-15,190.5881,193.0315,190.3651,191.9058,0.0
2024-04-16,191.9252,193.0451,190.9052,192.165,0.0
2024-04-17,192.1882,193.1705,191.4069,192.1987,0.0
2024-04-18,192.1997,193.1102,191.4104,192.301,0.0
2024-04-19,192.279,192.8494,189.9266,191.1855,0.0
2024-04-21,191.1889,191.3895,190.953,191.0522,0.0
2024-04-22,191.0293,191.8904,189.9667,191.1838,0.0
2024-04-23,191.1845,192.951,190.5833,192.6354,0.0
2024-04-24,192.6351,193.7489,192.2006,193.4274,0.0
2024-04-25,193.4277,195.1027,193.2761,194.6558,0.0
2024-04-26,194.6639,198.6983,192.906,197.7402,0.0
2024-04-28,197.6959,197.7434,196.8548,197.2374,0.0
2024-04-29,197.2402,201.3835,192.9713,196.2882,0.0
2024-04-30,196.2795,198.319,194.8459,197.0272,0.0
2024-05-01,197.0275,198.2737,190.7108,193.1405,0.0
2024-05-02,193.1751,196.0508,190.8755,192.6023,0.0
2024-05-03,192.616,194.2122,190.2566,191.8653,0.0
2024-05-04,191.8745,191.8745,191.8745,191.8745,0.0
2024-05-05,191.8306,191.9978,191.5356,191.7001,0.0
2024-05-06,191.682,193.9585,191.5735,193.2929,0.0
2024-05-07,193.3063,194.5266,192.3227,193.3494,0.0
2024-05-08,193.3475,194.7429,192.6983,194.3022,0.0
2024-05-09,194.3094,195.3583,193.0798,194.6932,0.0
2024-05-10,194.6854,195.5226,194.1054,194.9557,0.0
2024-05-11,194.9557,194.9557,194.9557,194.9557,0.0
2024-05-12,194.9557,195.0225,194.7579,194.8657,0.0
2024-05-13,194.9222,196.3903,194.615,196.144,0.0
2024-05-14,196.1519,197.4378,195.3452,196.9259,0.0
2024-05-15,196.9214,198.6198,194.6455,196.313,0.0
2024-05-16,196.2984,197.5444,194.1889,196.8093,0.0
2024-05-17,196.8276,198.2748,196.298,197.6361,0.0
2024-05-18,197.6361,197.6361,197.6361,197.6361,0.0
2024-05-19,197.5625,197.7314,197.266,197.528,0.0
2024-05-20,197.5324,198.9085,197.3022,198.4919,0.0
2024-05-21,198.4513,199.2333,197.6961,198.4292,0.0
2024-05-22,198.459,200.1523,198.2617,199.2303,0.0
2024-05-23,199.229,200.3689,198.5456,199.3046,0.0
2024-05-24,199.3036,200.3769,198.7715,199.8826,0.0
2024-05-25,199.8826,199.8826,199.8826,199.8826,0.0
2024-05-26,199.9679,200.0307,199.5857,199.8335,0.0
2024-05-27,199.8426,200.5575,199.4714,200.2719,0.0
2024-05-28,200.2811,201.227,199.6923,200.5401,0.0
2024-05-29,200.5495,201.4215,199.2105,200.1676,0.0
2024-05-30,200.172,200.9813,198.2837,199.6115,0.0
2024-05-31,199.6189,200.894,198.8246,200.4032,0.0
2024-06-01,200.4032,200.4032,200.4032,200.4032,0.0
2024-06-02,200.4032,200.4126,199.8944,200.2472,0.0
